日期,情景,计划购电量_kWh,调整购电量_kWh,紧急购电量_kWh,计划购电费_元,调整费用_元,紧急购电费_元,总费用_元
2025-08-09,更新至12:00,39588.54283333333,40079.42794938271,1631.9011666666675,23844.259031828333,326.9797505842564,6009.496257783337,30180.735040195927
2025-08-09,更新至18:00,39588.54283333333,40079.42794938271,1631.9011666666675,23844.259031828333,326.97975058425743,6009.496257783337,30180.735040195927
2025-08-10,仅0:00预报,69106.44536687242,69106.44536687242,5917.123733333334,45694.62374911827,0.0,27043.850602241666,72738.47435135994
2025-08-10,更新至6:00,69106.44536687242,69106.44536687242,4818.192550000002,45694.62374911827,0.0,21239.03278976667,66933.65653888494
2025-08-10,更新至12:00,69106.44536687242,69106.44536687242,4876.652433333335,45694.62374911827,7.232188181660604e-14,21481.22002900834,67175.84377812661
2025-08-10,更新至18:00,69106.44536687242,69106.44536687242,4876.652433333335,45694.62374911827,3.3035234991984907e-12,21481.22002900834,67175.84377812661
2025-08-11,仅0:00预报,67391.02075205761,67391.02075205761,3954.9061500000007,43802.33768334432,0.0,16198.221517200003,60000.55920054432
2025-08-11,更新至6:00,67391.02075205761,69795.1644674897,3292.4045500000007,43802.33768334432,2386.168159367997,13729.756114633337,59918.261957345654
2025-08-11,更新至12:00,67391.02075205761,69928.62667037036,3177.342933333334,43802.33768334432,2472.6817473473416,13241.509230683336,59516.52866137499
2025-08-11,更新至18:00,67391.02075205761,69928.62667037037,3177.342933333334,43802.33768334432,2472.6817473473443,13241.509230683336,59516.52866137499
2025-08-12,仅0:00预报,74098.53157263374,74098.53157263374,3190.7862499999987,47631.923363917726,0.0,12851.643683483331,60483.567047401055
2025-08-12,更新至6:00,74098.53157263374,75946.17113148147,2547.055207333339,47631.923363917726,2188.4334739740148,9312.081408378692,59132.43824627043
2025-08-12,更新至12:00,74098.53157263374,75027.08029506172,2547.055207333339,47631.923363917726,1131.5632888224427,9312.081408378692,58075.56806111886
2025-08-12,更新至18:00,74098.53157263374,75027.08029506172,2547.055207333339,47631.923363917726,1131.563288822443,9312.081408378692,58075.56806111886
2025-08-13,仅0:00预报,66280.71684423868,66280.71684423868,5461.888450000001,43343.96564471259,0.0,23497.39989353334,66841.36553824593
2025-08-13,更新至6:00,66280.71684423868,68917.87118477366,4105.054666666667,43343.96564471259,1901.2146144744443,17253.72969936667,62498.909958553704
2025-08-13,更新至12:00,66280.71684423868,69513.86921502058,4014.935633333334,43343.96564471259,2714.685390723884,16906.13348161667,62964.784517053144
2025-08-13,更新至18:00,66280.71684423868,69513.86921502058,4014.935633333334,43343.96564471259,2714.685390723884,16906.13348161667,62964.784517053144
2025-08-14,仅0:00预报,67776.45853065843,67776.45853065843,6383.70825,45227.896972032344,0.0,28261.301954558323,73489.19892659067
2025-08-14,更新至6:00,67776.45853065843,72807.6168418251,3101.335516666667,45227.896972032344,3867.6897172584704,13866.942524691665,62962.52921398248
2025-08-14,更新至12:00,67776.45853065843,71194.97240390946,3101.335516666667,45227.896972032344,2774.1229816115374,13866.942524691665,61868.96247833555
2025-08-14,更新至18:00,67776.45853065843,71194.97240390946,3101.335516666667,45227.896972032344,2774.1229816115374,13866.942524691665,61868.96247833555
2025-08-15,仅0:00预报,40458.251116666666,40458.251116666666,1571.50585,24484.209825231665,0.0,5698.470737266667,30182.68056249833
2025-08-15,更新至6:00,40458.251116666666,40550.410116666666,1509.310883333333,24484.209825231665,115.2079658999992,5368.507714908334,29967.92550604
2025-08-15,更新至12:00,40458.251116666666,40550.410116666666,1743.7091833333338,24484.209825231665,115.2079658999992,6119.322974275003,30718.74076540667
2025-08-15,更新至18:00,40458.251116666666,40550.410116666666,1743.7091833333338,24484.209825231665,115.20796589999992,6119.322974275003,30718.74076540667
2025-08-16,仅0:00预报,41611.8004065,41611.8004065,1838.6189000000002,25683.46430030643,0.0,6660.053533925,32343.517834231432
2025-08-16,更新至6:00,41611.8004065,41786.19898333333,1932.0336000000007,25683.46430030643,218.61694863404972,7068.783540775003,32970.86478971549
2025-08-16,更新至12:00,41611.8004065,41786.19898333333,1673.0368666666673,25683.46430030643,218.61694863404972,5935.881867491668,31837.96311643215
